Plot,Reach,Easting,Northing,Elev
B100,BU,425458.124,3815668.577,904.969
B100-1,BU,425457.805,3815672.158,905.144
B100-W,BU,425457.392,3815674.051,904.102
B101,BU,425459.949,3815658.078,905.356
B101-1,BU,425459.062,3815662.991,905.329
B101-2,BU,425459.949,3815658.078,905.356
B102 ,BU,425462.693,3815644.522,905.227
B102-1,BU,425462.095,3815654.545,904.693
B102-2,BU,425462.693,3815644.522,905.227
B102-M,BU,425462.645,3815649.075,904.939
B103,BU,425463.813,3815629.528,905.79
B103-1,BU,425464.071,3815639.284,905.667
B103-2,BU,425463.813,3815629.528,905.79
B104,BU,425466.029,3815610.344,907.829
B104-1,BU,425465.906,3815615.029,906.979
B104-2,BU,425466.029,3815610.344,907.829
B200,BU,425495.348,3815668.326,905.184
B200-1,BU,425496.662,3815670.373,904.964
B200-2,BU,425495.348,3815668.326,905.184
B200B,BU,425523.157,3815659.271,904.973
B200b-1,BU,425523.008,3815662.714,905.079
B200B-2,BU,425523.157,3815659.271,904.973
B200-W,BU,425497.026,3815673.454,903.864
B200-W2,BU,425497.335,3815672.512,904.192
B201,BU,425496.388,3815650.256,905.214
B201-1,BU,425495.87,3815659.852,905.181
B201-2,BU,425496.388,3815650.256,905.214
B201B,BU,425522.373,3815649.346,905.188
B201b-1,BU,425522.746,3815654.52,905.201
B201B-2,BU,425522.373,3815649.346,905.188
B202,BU,425497.45,3815638.458,905.173
B202-1,BU,425496.839,3815643.055,904.734
B202-2,BU,425497.45,3815638.458,905.173
B202B,BU,425521.712,3815636.361,904.942
B202B-2,BU,425521.735,3815641.377,904.768
B203,BU,425498.945,3815624.455,905.44
B203-1,BU,425498.361,3815629.749,905.557
B203-2,BU,425498.945,3815624.455,905.44
B203B,BU,425520.759,3815624.544,905.518
B203b-1,BU,425521.081,3815629.579,905.763
B203B-2,BU,425520.759,3815624.544,905.518
B204,BU,425500.203,3815608.669,906.677
B204-1,BU,425500.209,3815613.792,906.326
B204-2,BU,425500.203,3815608.669,906.677
B204B,BU,425519.056,3815607.716,907.02
B204B-1,BU,425518.933,3815613.184,906.475
B205,BU,425502.207,3815591.98,909.937
B205-1,BU,425502.207,3815591.98,909.937
B205-2,BU,425517.803,3815582.114,909.92
B205B,BU,425517.852,3815592.074,909.857
B205B-1,BU,425517.852,3815592.074,909.857
B205B-2,BU,425517.803,3815582.114,909.92
B2b-W,BU,425524.658,3815667.86,904.209
B2b-W1,BU,425523.477,3815666.471,904.377
B300,B,426604.772,3815875.419,902.206
B300-1,B,426607.764,3815870.531,901.285
B300A,BU,425550.854,3815593.427,909.707
B300A-1,BU,425550.854,3815593.427,909.707
B300A-2,BU,425549.952,3815588.091,909.954
B301A,BU,425549.018,3815602.122,908.042
B301A1,BU,425549.018,3815602.122,908.042
B301A-2,BU,425548.331,3815637.842,908.042
B302A,BU,425544.932,3815627.497,905.218
B302A-1,BU,425544.932,3815627.497,905.218
B302A-2,BU,425548.978,3815622.327,905.275
B303A,BU,425542.933,3815642.225,904.312
B303A-1,BU,425548.505,3815607.124,907.213
B304A,BU,425542.027,3815648.808,905.076
B304A-M,BU,425542.418,3815653.904,905.178
B3A-W,BU,425546.915,3815657.833,904.048
BP-1,BU,425593.473,3815630.027,904.681
BP-2,BU,425595.274,3815619.11,904.92
BP-4,BU,425595.84,3815604.94,907.451
BP-5,BU,425598.628,3815593.843,909.38
BW-1,BU,425467.208,3815678.054,904.307
BW-2,BU,425476.318,3815678.808,904.166
